departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
NARIÑO,52,CUMBITARA,"52,233",Rural,VEREDA LA ESPERANZA,"2,016",11,Mayor de 18 años,no,Civil,Herido,Masculino,1.64746,-77.579056,Accidente por MAP,"(1.64746, -77.579056)",Agricultura
NARIÑO,52,CUMBITARA,"52,233",Rural,VEREDA LA ESPERANZA,"2,016",11,Mayor de 18 años,no,Civil,Herido,Masculino,1.64746,-77.579056,Accidente por MAP,"(1.64746, -77.579056)","Pasando, estando cerca"
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,VEREDA EL TESORITO,"2,017",6,Menor de 18 años,no,Civil,Herido,Masculino,7.40620821575,-75.2598583404,Accidente por MAP,"(7.40620821575, -75.2598583404)",Jugando
META,50,VISTAHERMOSA,"50,711",Rural,VEREDA LA ARGENTINA,"2,016",9,Mayor de 18 años,no,Civil,Herido,Masculino,3.125088,-73.752373,Accidente por MAP,"(3.125088, -73.752373)",Sin Información
GUAVIARE,95,CALAMAR,"95,015",Rural,VEREDA PUERTO NUEVO,"2,016",11,Mayor de 18 años,no,Civil,Herido,Masculino,2.37189,-73.170757,Accidente por MAP,"(2.37189, -73.170757)","Recogiendo comida, agua ó  madera"
NARIÑO,52,SAMANIEGO,"52,678",Rural,VEREDA EL PALACIO,"2,017",7,Mayor de 18 años,no,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)","Pasando, estando cerca"
GUAVIARE,95,MIRAFLORES,"95,200",Rural,VEREDA LA YE,"2,017",6,Mayor de 18 años,no,Civil,Herido,Masculino,1.336939,-71.951518,Accidente por MAP,"(1.336939, -71.951518)","Pasando, estando cerca"
BOLIVAR,13,NOROSÍ,"13,490",Rural,VEREDA BUENA SEÑA,"2,016",6,Menor de 18 años,no,Civil,Herido,Masculino,8.526933,-74.038285,Accidente por MUSE,"(8.526933, -74.038285)",Manipulación
ANTIOQUIA,5,MUTATÁ,"5,480",Rural,VEREDA LA FORTUNA,"2,012",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.46365093191,-76.5941059309,Accidente por MAP,"(7.46365093191, -76.5941059309)","Pasando, estando cerca"
CHOCO,27,RIOSUCIO,"27,615",Rural,CORREGIMIENTO JIUNDO COMUNIDAD JIUUN DUUR,"2,017",7,Mayor de 18 años,Indigena,Civil,Herido,Masculino,7.437292,-77.111288,Accidente por MAP,"(7.437292, -77.111288)","Recogiendo comida, agua ó  madera"
BOLIVAR,13,SANTA ROSA DEL SUR,"13,688",Rural,VEREDA PALMA CHICA,"2,013",8,Mayor de 18 años,no,Civil,Herido,Masculino,7.963275,-74.051674,Accidente por MAP,"(7.963275, -74.051674)","Pasando, estando cerca"
NARIÑO,52,SANTA CRUZ,"52,699",Rural,VEREDA CUNDES,"2,017",7,Menor de 18 años,Indigena,Civil,Herido,Masculino,1.22182,-77.677265,Accidente por MAP,"(1.22182, -77.677265)",Manipulación
CHOCO,27,RIOSUCIO,"27,615",Rural,VEREDA COMUNIDAD INDÍGENA QUIPARADÓ,"2,017",7,Mayor de 18 años,Indigena,Civil,Muerto,Masculino,7.437292,-77.111288,Accidente por MAP,"(7.437292, -77.111288)","Pasando, estando cerca"
ANTIOQUIA,5,ITUANGO,"5,361",Rural,VEREDA BUENOS AIRES,"2,017",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.17163,-75.764403,Accidente por MAP,"(7.17163, -75.764403)","Pasando, estando cerca"
TOLIMA,73,ICONONZO,"73,352",Rural,Sin Información,"2,008",6,Mayor de 18 años,no,Civil,Herido,Masculino,4.176318,-74.532447,Accidente por MAP,"(4.176318, -74.532447)",Transito por trocha atajo
CHOCO,27,NÓVITA,"27,491",Rural,JUNTAS DE TAMANA,"2,017",8,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,4.98583333333333,-76.4191666666667,Accidente por MAP,"(4.98583333333333, -76.4191666666667)",Fuerza pública
